Date,Year,Month_name,Month_number,Units,Body_type,Petrol,Diesel,Hybrid_electric_petrol,Hybrid_electric_diesel,Plug_in_hybrid_electric_petrol,Plug_in_hybrid_electric_diesel,Battery_electric,Range_extended_electric,Fuel_cell_electric,Gas,Other_fuel_types,Total,Plug_in,Zero_emission
July 2014,2014,July,7,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
August 2014,2014,August,8,Thousands,Buses and coaches,.00,.30,.00,.00,.00,.00,.00,.00,.00,.00,.00,.30,.00,.00
September 2014,2014,September,9,Thousands,Buses and coaches,.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.00,.00,.00
October 2014,2014,October,10,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
November 2014,2014,November,11,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
December 2014,2014,December,12,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
January 2015,2015,January,1,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
February 2015,2015,February,2,Thousands,Buses and coaches,.00,.50,.00,.00,.00,.00,.00,.00,.00,.00,.00,.50,.00,.00
March 2015,2015,March,3,Thousands,Buses and coaches,.00,1.30,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.30,.00,.00
April 2015,2015,April,4,Thousands,Buses and coaches,.00,.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.90,.00,.00
May 2015,2015,May,5,Thousands,Buses and coaches,.00,.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.90,.00,.00
June 2015,2015,June,6,Thousands,Buses and coaches,.00,.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.90,.00,.00
July 2015,2015,July,7,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
August 2015,2015,August,8,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
September 2015,2015,September,9,Thousands,Buses and coaches,.00,1.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.20,.00,.00
October 2015,2015,October,10,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
November 2015,2015,November,11,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
December 2015,2015,December,12,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
January 2016,2016,January,1,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
February 2016,2016,February,2,Thousands,Buses and coaches,.00,.40,.00,.00,.00,.00,.00,.00,.00,.00,.00,.40,.00,.00
March 2016,2016,March,3,Thousands,Buses and coaches,.00,1.30,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.30,.00,.00
April 2016,2016,April,4,Thousands,Buses and coaches,.00,.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.90,.00,.00
May 2016,2016,May,5,Thousands,Buses and coaches,.00,.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.90,.00,.00
June 2016,2016,June,6,Thousands,Buses and coaches,.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.00,.00,.00
July 2016,2016,July,7,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
August 2016,2016,August,8,Thousands,Buses and coaches,.00,.50,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
September 2016,2016,September,9,Thousands,Buses and coaches,.00,1.40,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.50,.00,.00
October 2016,2016,October,10,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
November 2016,2016,November,11,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
December 2016,2016,December,12,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
January 2017,2017,January,1,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
February 2017,2017,February,2,Thousands,Buses and coaches,.00,.50,.00,.00,.00,.00,.00,.00,.00,.00,.00,.50,.00,.00
March 2017,2017,March,3,Thousands,Buses and coaches,.00,1.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.20,.00,.00
April 2017,2017,April,4,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
May 2017,2017,May,5,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
June 2017,2017,June,6,Thousands,Buses and coaches,.00,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.80,.00,.00
July 2017,2017,July,7,Thousands,Buses and coaches,.00,.50,.00,.00,.00,.00,.00,.00,.00,.00,.00,.50,.00,.00
August 2017,2017,August,8,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
September 2017,2017,September,9,Thousands,Buses and coaches,.00,1.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.20,.00,.00
October 2017,2017,October,10,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
November 2017,2017,November,11,Thousands,Buses and coaches,.00,.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.70,.00,.00
December 2017,2017,December,12,Thousands,Buses and coaches,.00,.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,.00,.00
