"Road using [note 1] vehicles registered for the first time by body type and fuel type [note 2], Great Britain from January 2001; also United Kingdom from July 2014",,,,,,,,,,,,,,,,,,
Table VEH1153a,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [low] = a low figure but not a real zero.",,,,,,,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType,Petrol,Diesel,Hybrid electric (petrol),Hybrid electric (diesel),Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Battery electric,Range extended electric,Fuel cell electric,Gas [note 5],Other fuel types [note 6],Total,Plug-in [note 7],Zero emission [note 8]
England,Annual,2001,Thousands,Buses and coaches,0.2,8.8,[low],[low],[low],[low],[low],[low],[low],[low],[low],9.0,[low],[low]
England,Annual,2002,Thousands,Buses and coaches,0.1,10.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],10.6,[low],[low]
England,Annual,2003,Thousands,Buses and coaches,0.1,11.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],11.6,[low],[low]
England,Annual,2004,Thousands,Buses and coaches,0.3,11.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],11.2,[low],[low]
England,Annual,2005,Thousands,Buses and coaches,0.1,10.6,[low],[low],[low],[low],[low],[low],[low],[low],[low],10.7,[low],[low]
England,Annual,2006,Thousands,Buses and coaches,0.1,10.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],10.2,[low],[low]
England,Annual,2007,Thousands,Buses and coaches,0.1,10.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],10.2,[low],[low]
England,Annual,2008,Thousands,Buses and coaches,0.1,10.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],10.0,[low],[low]
England,Annual,2009,Thousands,Buses and coaches,[low],8.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],8.3,[low],[low]
England,Annual,2010,Thousands,Buses and coaches,[low],7.7,[low],[low],[low],[low],[low],[low],[low],[low],[low],7.7,[low],[low]
England,Annual,2011,Thousands,Buses and coaches,[low],7.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],7.4,[low],[low]
England,Annual,2012,Thousands,Buses and coaches,[low],8.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],8.6,[low],[low]
England,Annual,2013,Thousands,Buses and coaches,[low],7.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],7.6,[low],[low]
England,Annual,2014,Thousands,Buses and coaches,[low],7.0,[low],[low],[low],[low],[low],[low],[low],0.1,[low],7.1,[low],[low]
England,Annual,2015,Thousands,Buses and coaches,0.1,8.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],8.2,[low],[low]
England,Annual,2016,Thousands,Buses and coaches,0.1,8.6,[low],[low],[low],[low],0.1,[low],[low],[low],[low],8.7,0.1,0.1
England,Annual,2017,Thousands,Buses and coaches,0.1,7.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],7.6,[low],[low]
England,Annual,2018,Thousands,Buses and coaches,0.1,6.7,[low],[low],[low],[low],0.1,[low],[low],0.1,[low],6.9,0.1,0.1
England,Annual,2019,Thousands,Buses and coaches,0.1,5.7,[low],[low],[low],[low],0.1,[low],[low],0.1,[low],6.0,0.1,0.1
England,Annual,2020,Thousands,Buses and coaches,[low],3.9,[low],[low],[low],[low],0.3,[low],[low],0.1,[low],4.3,0.3,0.3
England,Annual,2021,Thousands,Buses and coaches,0.1,2.9,[low],[low],[low],[low],0.4,[low],[low],[low],[low],3.4,0.4,0.4
England,Quarterly,2001 Q1 (January to March),Thousands,Buses and coaches,0.1,2.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.2,[low],[low]
England,Quarterly,2001 Q2 (April to June),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.4,[low],[low]
England,Quarterly,2001 Q3 (July to September),Thousands,Buses and coaches,[low],2.3,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.3,[low],[low]
England,Quarterly,2001 Q4 (October to December),Thousands,Buses and coaches,0.1,2.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.1,[low],[low]
England,Quarterly,2002 Q1 (January to March),Thousands,Buses and coaches,[low],2.4,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.4,[low],[low]
England,Quarterly,2002 Q2 (April to June),Thousands,Buses and coaches,[low],3.0,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.0,[low],[low]
England,Quarterly,2002 Q3 (July to September),Thousands,Buses and coaches,[low],2.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.6,[low],[low]
England,Quarterly,2002 Q4 (October to December),Thousands,Buses and coaches,[low],2.5,[low],[low],[low],[low],[low],[low],[low],[low],[low],2.6,[low],[low]
England,Quarterly,2003 Q1 (January to March),Thousands,Buses and coaches,[low],2.9,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.0,[low],[low]
England,Quarterly,2003 Q2 (April to June),Thousands,Buses and coaches,[low],3.1,[low],[low],[low],[low],[low],[low],[low],[low],[low],3.2,[low],[low]
