Source.Name,Date,Season,Location,Max wind (MPH),Max wind (town),Town,Average wind (mph),Wind direction,Air temperature (C),Air temperature (C) (town),Wind chill temperature (C),Snow depth (CM),Snow depth in drifts (CM),Snow level (m),Cloud base (m),Cloud base comment,Oberservor,Report
CLEAN 1997-1998.xlsx,24/11/1997,1997 - 1998,Helvellyn summit,,,,32,,3.3,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,25/11/1997,1997 - 1998,Helvellyn summit,38,,,34,NE,1,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,26/11/1997,1997 - 1998,Helvellyn summit,,,,7,NE,4.1,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,27/11/1997,1997 - 1998,Helvellyn summit,32,,,3,NE,4.5,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,28/11/1997,1997 - 1998,Helvellyn summit,32,,,20,NE,2.9,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,29/11/1997,1997 - 1998,Helvellyn summit,,,,14,NE,3.9,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,30/11/1997,1997 - 1998,Helvellyn summit,,,,12,NE,-0.5,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,01/12/1997,1997 - 1998,Helvellyn summit,11,,,6,NE,-1.5,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,02/12/1997,1997 - 1998,Helvellyn summit,26,,,19,NE,-3.9,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,03/12/1997,1997 - 1998,Helvellyn summit,29,,,20,NE,-2.7,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,04/12/1997,1997 - 1998,Helvellyn summit,7,,,4,NW,-0.3,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,05/12/1997,1997 - 1998,Helvellyn summit,42,,,29,SW,-0.6,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,06/12/1997,1997 - 1998,Helvellyn summit,30,,,19,SW,5,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,07/12/1997,1997 - 1998,Helvellyn summit,47,,,39,W,3,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,08/12/1997,1997 - 1998,Helvellyn summit,48,,,39,SW,3.2,,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,09/12/1997,1997 - 1998,Helvellyn summit,34,,Glenridding,27,SW,3.8,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,10/12/1997,1997 - 1998,Helvellyn summit,67,,Glenridding,54,W,4.5,10.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,11/12/1997,1997 - 1998,Helvellyn summit,12,,Glenridding,10,W,3.5,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,12/12/1997,1997 - 1998,Helvellyn summit,20,,Glenridding,18,W,-0.6,4.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,13/12/1997,1997 - 1998,Helvellyn summit,25,,Glenridding,24,W,3.1,9.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,14/12/1997,1997 - 1998,Helvellyn summit,6,,Glenridding,5,SE,3.9,9.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,15/12/1997,1997 - 1998,Helvellyn summit,22.9,,Glenridding,16.8,E,-1.6,5.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,16/12/1997,1997 - 1998,Helvellyn summit,59.7,,Glenridding,34,E,-2.8,5.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,17/12/1997,1997 - 1998,Helvellyn summit,54.6,,Glenridding,43,E,-3.3,4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,18/12/1997,1997 - 1998,Helvellyn summit,34,,Glenridding,26,SE,2.8,7.6,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,19/12/1997,1997 - 1998,Helvellyn summit,4.9,,Glenridding,3,S,3.3,6.4,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,20/12/1997,1997 - 1998,Helvellyn summit,19,,Glenridding,17,W,3.2,8.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,21/12/1997,1997 - 1998,Helvellyn summit,5.8,,Glenridding,3.5,SE,2.9,6.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,22/12/1997,1997 - 1998,Helvellyn summit,21,,Glenridding,17,SE,0.1,7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,23/12/1997,1997 - 1998,Helvellyn summit,27,,Glenridding,24,W,2,6.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,24/12/1997,1997 - 1998,Helvellyn summit,33,,Glenridding,26,S,2.3,8.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,25/12/1997,1997 - 1998,Helvellyn summit,45,,Glenridding,40,SW,2.4,8.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,26/12/1997,1997 - 1998,Helvellyn summit,25,,Glenridding,20,NW,1.1,6.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,27/12/1997,1997 - 1998,Helvellyn summit,20,,Glenridding,18,NW,-0.2,6.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,28/12/1997,1997 - 1998,Helvellyn summit,13,,Glenridding,8,NW,-0.6,4.5,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,29/12/1997,1997 - 1998,Helvellyn summit,9,,Glenridding,6.2,W,0.4,5.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,30/12/1997,1997 - 1998,Helvellyn summit,45,,Glenridding,34,SW,1.8,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,31/12/1997,1997 - 1998,Helvellyn summit,19,,Glenridding,13,SW,-1.3,5.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,01/01/1998,1997 - 1998,Swirral Edge,81,,Glenridding,48,SW,0.6,6.3,,,,,,Not recorded,,*Readings taken on Swirral Edge
CLEAN 1997-1998.xlsx,02/01/1998,1997 - 1998,Helvellyn summit,26,,Glenridding,21,SW,0.3,6.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,03/01/1998,1997 - 1998,Helvellyn summit,62,,Glenridding,46,W,0.9,6.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,04/01/1998,1997 - 1998,Helvellyn summit,20,,Glenridding,14,SE,0,6.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,05/01/1998,1997 - 1998,Helvellyn summit,10,,Glenridding,8,NW,-2.3,4.3,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,06/01/1998,1997 - 1998,Helvellyn summit,50,,Glenridding,36,S,-2.7,3.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,07/01/1998,1997 - 1998,Helvellyn summit,41,,Glenridding,35,SW,-1.4,5.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,08/01/1998,1997 - 1998,Helvellyn summit,30,,Glenridding,27,SW,1,2.2,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,09/01/1998,1997 - 1998,Helvellyn summit,76,,Glenridding,62,W,5.9,11.9,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,10/01/1998,1997 - 1998,Helvellyn summit,55,,Glenridding,38,W,4.5,10.8,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,11/01/1998,1997 - 1998,Helvellyn summit,38,,Glenridding,35,W,3.5,10.7,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,12/01/1998,1997 - 1998,Helvellyn summit,39,,Glenridding,32,SW,3.5,9.1,,,,,,Not recorded,,
CLEAN 1997-1998.xlsx,13/01/1998,1997 - 1998,Helvellyn summit,23,,Glenridding,12,W,4.1,10.9,,,,,,Not recorded,,
